,City,Country,Date,Lat,Lng,Max_Temperature,Humidity,Clouds,Wind_Speed
318,camargo,ES,2017-08-23 04:00:00,43.41,-3.88,62.6,100,40,1.12
319,kralendijk,BQ,2017-08-23 03:55:00,12.15,-68.27,82.4,83,64,12.75
320,savonlinna,FI,2017-08-23 03:50:00,61.87,28.92,55.4,93,75,4.7
321,porto torres,IT,2017-08-23 04:38:21,40.84,8.4,67.85,79,0,0.69
322,asfi,IT,2017-08-23 03:50:00,44.9,8.21,62.6,72,0,4.7
323,tabora,TZ,2017-08-23 04:38:23,-5.02,32.8,70.91,62,8,9.86
324,ylivieska,FI,2017-08-23 04:38:24,64.08,24.67,53.81,93,88,5.61
325,hihifo,TO,2017-08-23 04:00:00,-21.15,-175.22,71.6,73,90,20.71
326,charlestown,AU,2017-08-23 04:00:00,-32.95,151.67,69.8,60,20,11.41
327,stornoway,GB,2017-08-23 03:50:00,58.21,-6.39,59,100,92,3.36
328,jibuti,DJ,2017-08-23 04:38:09,11.59,43.14,88.64,67,8,21.27
329,puerto ayacucho,VE,2017-08-23 03:00:00,5.66,-67.62,77,94,75,2.37
330,ondorhaan,MN,2017-08-23 04:38:31,47.32,110.66,61.91,72,24,9.98
331,teknaf,BD,2017-08-23 04:38:32,20.86,92.31,80.81,90,80,5.28
332,portobelo,PA,2017-08-23 04:00:00,9.55,-79.65,80.6,88,20,9.17
333,cotonou,BJ,2017-08-23 04:00:00,6.37,2.42,73.4,100,20,5.82
334,czestochowa,PL,2017-08-23 04:00:00,50.8,19.12,51.8,87,90,4.7
335,lolua,FI,2017-08-23 03:50:00,60.17,24.94,48.2,93,75,5.82
336,mrirt,MA,2017-08-23 04:38:37,33.15,-5.83,62.63,81,76,2.59
337,goranboy,AZ,2017-08-23 04:00:00,40.61,46.79,75.2,78,20,8.05
338,wagrowiec,PL,2017-08-23 04:00:00,52.81,17.2,53.6,93,0,4.7
339,povazska bystrica,SK,2017-08-23 04:00:00,49.12,18.42,50,100,90,2.24
340,savannakhet,LA,2017-08-23 04:00:00,16.57,104.75,91.4,66,75,2.24
341,mirabad,AF,2017-08-23 04:38:43,30.44,61.84,92.69,11,0,16.24
342,jarjis,FI,2017-08-23 03:50:00,60.22,21.37,51.8,100,92,5.82
343,habiganj,BD,2017-08-23 04:30:00,24.38,91.42,89.6,75,75,5.82
344,miragoane,HT,2017-08-23 04:38:46,18.44,-73.09,81.98,100,32,4.5
345,mae hong son,TH,2017-08-23 03:00:00,19.3,97.97,82.4,69,75,2.24
346,muscat,OM,2017-08-23 03:50:00,23.61,58.59,91.4,59,40,5.82
347,zangakatun,AM,2017-08-23 04:00:00,39.82,45.04,71.6,49,0,1.12
348,acajutla,SV,2017-08-23 04:38:51,13.59,-89.83,73.88,93,8,2.82
349,almazar,JO,2017-08-23 04:00:00,32.49,35.8,68,77,20,9.17
350,ko samui,TH,2017-08-23 04:30:00,9.54,99.94,89.6,66,20,11.41
351,oranjestad,AW,2017-08-23 03:00:00,12.52,-70.03,84.2,83,20,18.34
352,burica,PT,2017-08-23 04:00:00,38.75,-9.21,64.4,88,0,12.75
353,kalangala,UG,2017-08-23 04:00:00,-0.31,32.23,64.4,93,20,9.17
354,saint-georges,CA,2017-08-23 04:38:58,46.62,-72.66,66.5,97,64,8.52
355,trapani,IT,2017-08-23 03:55:00,38.02,12.54,77,94,0,3.36
356,leningradskiy,RU,2017-08-23 04:39:00,69.38,178.42,41.21,100,44,12.66
357,ludvika,SE,2017-08-23 03:50:00,60.15,15.19,50,87,0,5.82
358,konigs wusterhausen,DE,2017-08-23 04:05:00,52.3,13.63,48.2,93,40,2.24
359,at-bashi,KG,2017-08-23 04:39:03,41.17,75.81,57.23,63,24,3.15
360,ouargaye,BF,2017-08-23 04:39:04,11.5,0.06,72.08,98,92,7.4
361,salihorsk,BY,2017-08-23 04:39:06,52.79,27.54,58.49,93,48,11.99
362,ohaba lunga,RO,2017-08-23 04:00:00,45.83,21.95,53.6,87,0,4.7
363,crab hill,KN,2017-08-23 03:55:00,17.38,-62.85,80.6,83,56,11.41
364,florenville,BE,2017-08-23 03:50:00,49.7,5.31,60.8,72,0,6.93
365,port-de-paix,HT,2017-08-23 04:39:10,19.93,-72.83,77.93,100,8,4.61
366,taitung,TW,2017-08-23 04:06:00,22.76,121.14,78.8,100,75,2.24
367,francistown,BW,2017-08-23 04:00:00,-21.17,27.51,51.8,32,0,5.82
368,guasdualito,VE,2017-08-23 03:00:00,7.24,-70.73,77,100,75,2.82
369,weilheim,DE,2017-08-23 04:00:00,47.67,8.23,59,93,0,1.92
370,harlingen,US,2017-08-23 04:15:00,26.19,-97.7,84.2,74,1,4.7
371,abong mbang,CM,2017-08-23 04:39:17,3.98,13.18,68.66,94,88,2.82
372,saint-leu,RE,2017-08-23 04:00:00,-21.15,55.28,71.6,64,20,4.7
373,mahaicony,GY,2017-08-23 04:00:00,6.37,-58.09,77,94,0,2.24
374,santa fe,US,2017-08-23 04:15:00,35.69,-105.94,64.4,72,40,1.36
375,sinjar,IQ,2017-08-23 04:39:21,36.32,41.88,84.68,43,0,9.42
376,duverge,DO,2017-08-23 04:39:23,18.38,-71.52,67.85,93,12,2.37
377,saint-pierre,RE,2017-08-23 04:00:00,-21.34,55.48,71.6,64,20,4.7
378,romitan,UZ,2017-08-23 04:00:00,39.93,64.38,71.6,28,0,9.17
379,asmara,ER,2017-08-23 04:39:26,15.33,38.93,81.26,62,20,3.38
380,sision,US,2017-08-23 04:15:00,44.67,-74.98,71.6,77,40,13.87
381,goderich,CA,2017-08-23 04:39:28,43.75,-81.72,62,82,0,18.14
382,chinhoyi,ZW,2017-08-23 04:39:29,-17.37,30.2,61.73,59,0,2.71
383,axim,GH,2017-08-23 04:39:31,4.87,-2.24,75.5,99,92,10.42
384,saravan,IN,2017-08-23 04:39:32,24.48,86.7,88.64,92,8,4.61
385,titel,RS,2017-08-23 04:00:00,45.21,20.29,55.4,93,0,4.7
386,iralaya,HN,2017-08-23 04:39:34,15,-83.23,81.62,92,92,5.39
387,kavadarci,MK,2017-08-23 04:00:00,41.43,22.01,48.2,81,0,2.24
388,morant bay,JM,2017-08-23 04:00:00,17.88,-76.41,84.2,79,20,5.82
389,moiyabana,BW,2017-08-23 04:39:37,-22.43,26.42,48.5,27,0,13.56
390,safaqis,SA,2017-08-23 04:00:00,24.69,46.72,89.6,17,5,9.17
391,dagana,IN,2017-08-23 04:39:40,26.98,73.97,89.36,79,64,6.17
392,trojan,BA,2017-08-23 04:00:00,44.39,18.74,42.8,93,0,2.24
393,tartus,EE,2017-08-23 03:50:00,58.38,26.73,53.6,93,92,8.05
394,brokopondo,SR,2017-08-23 04:00:00,5.07,-54.97,77,94,20,1.12
395,port antonio,JM,2017-08-23 04:00:00,18.18,-76.46,84.2,79,20,5.82
396,gorom-gorom,BF,2017-08-23 04:39:45,14.44,-0.24,73.52,88,24,10.42
397,sakete,BJ,2017-08-23 04:00:00,6.74,2.66,73.4,100,20,5.82
398,doha,QA,2017-08-23 04:00:00,25.29,51.53,96.8,56,0,16.11
399,dakar,SN,2017-08-23 04:00:00,14.69,-17.44,82.4,83,75,13.87
400,anloga,GH,2017-08-23 04:00:00,5.79,0.9,75.2,88,75,9.17
401,pristina,XK,2017-08-23 04:00:00,42.67,21.17,44.6,81,20,1.12
402,black river,JM,2017-08-23 04:00:00,18.03,-77.85,82.4,83,20,4.7
403,bajram curri,AL,2017-08-23 04:00:00,42.35,20.07,66.2,39,0,5.82
404,ivanava,BY,2017-08-23 04:39:54,52.15,25.54,59.03,81,68,11.54
405,kosd,HU,2017-08-23 04:00:00,47.81,19.18,48.2,93,0,3.36
406,jumla,NP,2017-08-23 04:39:57,29.27,82.18,53.99,87,12,1.48
407,kathmandu,NP,2017-08-23 04:20:00,27.72,85.32,73.4,88,75,1.14
408,villa sandino,NI,2017-08-23 04:39:59,12.05,-84.99,76.31,92,8,3.94
409,sabha,LY,2017-08-23 04:40:00,27.04,14.43,77.39,40,0,9.19
410,ghanzi,BW,2017-08-23 04:40:01,-21.57,21.78,47.51,35,0,12.21
411,marsaxlokk,MT,2017-08-23 03:45:00,35.84,14.54,73.4,78,20,1.12
412,savannah bight,HN,2017-08-23 04:40:04,16.45,-85.85,83.96,97,0,12.88
413,starachowice,PL,2017-08-23 04:40:05,51.04,21.07,55.25,93,76,9.53
414,mabaruma,GY,2017-08-23 04:40:06,8.2,-59.78,79.28,92,0,6.06
415,barahona,PR,2017-08-23 03:56:00,18.35,-66.45,82.4,83,40,5.82
416,wilhelmsburg,AT,2017-08-23 03:50:00,48.11,15.61,51.8,87,0,1.12
417,pokhara,NP,2017-08-23 04:36:15,28.23,83.98,78.56,65,8,2.59
418,kyotera,UG,2017-08-23 04:40:11,-0.62,31.52,70.46,92,32,6.29
419,mbini,GQ,2017-08-23 04:40:12,1.57,9.61,73.25,100,92,5.17
420,totness,SR,2017-08-23 04:40:13,5.88,-56.32,81.17,100,8,12.1
421,carmen,PH,2017-08-23 04:40:14,15.88,120.6,74.78,100,100,4.72
422,liku,NP,2017-08-23 04:40:15,29.06,82.31,69.47,77,56,1.81
423,conakry,GN,2017-08-23 04:00:00,9.54,-13.68,73.4,100,75,11.41
424,teseney,ER,2017-08-23 04:40:18,15.11,36.66,79.37,79,24,7.96
425,guider,CM,2017-08-23 04:40:19,9.93,13.95,70.19,98,48,4.38
426,wehr,DE,2017-08-23 04:00:00,47.63,7.9,59,93,0,1.12
427,guane,CU,2017-08-23 04:40:21,22.2,-84.09,75.68,98,12,2.71
428,mitsamiouli,KM,2017-08-23 04:00:00,-11.38,43.28,69.8,94,20,3.36
429,higuey,DO,2017-08-23 04:00:00,18.61,-68.71,82.4,83,20,11.41
430,buchanan,LR,2017-08-23 04:40:24,5.88,-10.05,76.22,100,92,6.96
431,faranah,GN,2017-08-23 04:40:26,10.04,-10.74,68.03,98,92,6.51
432,agdam,AZ,2017-08-23 04:40:27,39.99,46.93,81.35,42,0,4.61
433,kampong cham,KH,2017-08-23 04:40:28,11.99,105.46,87.02,79,68,8.63
434,mhlambanyatsi,SZ,2017-08-23 04:40:29,-26.45,31.02,53.63,18,0,2.59
435,makhinjauri,GE,2017-08-23 04:00:00,41.67,41.69,75.2,94,75,6.93
436,khor,RU,2017-08-23 04:40:31,47.89,134.95,75.68,67,36,10.2
437,siteki,SZ,2017-08-23 04:40:33,-26.45,31.95,60.74,28,0,5.39
438,bodden town,KY,2017-08-23 04:40:34,19.28,-81.25,84.95,100,12,5.06
439,the valley,AI,2017-08-23 04:00:00,18.22,-63.06,82.4,83,20,6.93
440,vieux-habitants,GP,2017-08-23 04:30:00,16.06,-61.77,77,100,20,4.7
441,qafqafa,JO,2017-08-23 04:00:00,32.35,35.94,68,77,20,9.17
442,sayyan,YE,2017-08-23 04:40:38,15.17,44.32,80.27,20,44,1.59
443,marneuli,GE,2017-08-23 04:00:00,41.48,44.81,77,41,0,3.36
444,sofia,BG,2017-08-23 04:00:00,42.7,23.32,50,87,0,5.82
445,dingli,MT,2017-08-23 03:45:00,35.86,14.38,73.4,78,20,1.12
446,kandava,LV,2017-08-23 04:40:43,57.04,22.77,57.68,91,0,8.08
447,barillas,GT,2017-08-23 04:40:44,15.8,-91.32,62.36,91,92,1.81
448,robertsport,LR,2017-08-23 04:40:45,6.75,-11.37,77.93,100,76,12.21
449,yarim,YE,2017-08-23 04:40:46,14.3,44.38,78.56,23,80,2.15
450,tungkang,PH,2017-08-23 04:00:00,14.82,121.12,89.6,66,75,8.05
451,abu dhabi,AE,2017-08-23 04:00:00,24.47,54.37,91.4,46,20,14.99
452,lagunillas,VE,2017-08-23 04:40:50,10.13,-71.26,82.97,97,0,5.39
453,ocos,GT,2017-08-23 03:40:00,14.51,-92.19,75.2,94,90,5.82
454,meiringen,CH,2017-08-23 03:50:00,46.73,8.18,60.8,93,90,1.12
455,rock sound,BS,2017-08-23 04:40:53,24.9,-76.2,84.05,100,88,19.04
456,ziyamet,CY,2017-08-23 03:50:00,35.47,34.14,68,82,20,9.08
457,damphu,NP,2017-08-23 04:40:55,28.09,82.88,74.87,89,68,2.37
458,ban nahin,LA,2017-08-23 04:40:56,18.24,104.21,80.9,84,80,2.93
459,mango,US,2017-08-23 03:58:00,27.98,-82.31,84.2,83,1,5.61
460,debelec,BG,2017-08-23 04:00:00,43.03,25.62,50,100,0,4.7
461,gazimagusa,CY,2017-08-23 04:00:00,35.12,33.95,75.2,78,20,5.82
462,xudat,AZ,2017-08-23 04:41:01,41.63,48.68,80.81,52,0,12.1
463,koungou,YT,2017-08-23 04:00:00,-12.73,45.2,77,83,40,4.7
464,neiafu,TO,2017-08-23 04:00:00,-18.65,-173.98,77,88,75,9.17
465,lind,DK,2017-08-23 04:03:00,56.1,8.98,48.2,100,90,2.93
466,virtsu,EE,2017-08-23 03:50:00,58.62,23.66,60.8,77,20,11.41
467,west bay,KY,2017-08-23 04:41:07,19.37,-81.42,84.86,100,12,6.96
468,jacaleapa,HN,2017-08-23 04:00:00,14.02,-86.67,71.6,83,40,4.7
469,boueni,YT,2017-08-23 04:00:00,-12.9,45.08,77,83,40,4.7
470,lahij,YE,2017-08-23 04:41:10,13.06,44.88,95.21,40,0,6.62
471,strakonice,CZ,2017-08-23 04:00:00,49.26,13.9,44.6,100,0,2.71
472,cockburn harbour,TC,2017-08-23 04:41:12,21.73,-71.58,82.88,100,88,15.79
473,seoul,KR,2017-08-23 04:04:00,37.57,126.98,89.6,79,90,13.87
474,pousat,FI,2017-08-23 03:50:00,60.17,24.94,48.2,93,75,5.82
475,rio claro,BR,2017-08-23 04:41:16,-22.41,-47.56,57.5,80,0,5.84
476,rumphi,MW,2017-08-23 04:41:17,-11.02,33.86,61.01,69,0,3.49
477,foca,TR,2017-08-23 03:50:00,38.67,26.76,71.6,82,0,6.62
478,sisophon,KH,2017-08-23 04:41:19,13.59,102.97,91.43,64,56,16.24
479,korcula,HR,2017-08-23 04:00:00,42.96,17.14,57.2,62,0,3.36
480,moengo,SR,2017-08-23 04:41:21,5.62,-54.4,75.41,93,0,2.93
481,rogun,FI,2017-08-23 03:50:00,60.19,24.84,48.2,93,75,5.82
482,biograd na moru,HR,2017-08-23 04:00:00,43.94,15.45,51.8,71,0,6.62
483,plana,CZ,2017-08-23 04:00:00,49.87,12.74,44.6,93,0,2.24
484,farum,DK,2017-08-23 03:50:00,55.81,12.36,53.6,93,20,4.7
485,nsoko,SZ,2017-08-23 04:41:27,-27.03,31.95,60.2,30,0,5.95
486,kirkuk,IQ,2017-08-23 04:41:28,35.47,44.39,92.15,25,0,6.51
487,road town,VG,2017-08-23 03:53:00,18.42,-64.62,80.6,83,1,3.36
488,karakendzha,TJ,2017-08-23 04:41:30,39.24,71.52,47.78,37,0,1.14
489,punta gorda,US,2017-08-23 04:15:00,26.93,-82.05,82.4,83,1,4.7
490,kyzyl-suu,KG,2017-08-23 04:00:00,40.54,72.78,78.8,47,32,5.82
491,loksa,EE,2017-08-23 03:50:00,59.58,25.72,50,100,20,2.24
492,san lawrenz,MT,2017-08-23 03:45:00,36.04,14.23,73.4,78,20,1.12
493,nsanje,MW,2017-08-23 04:41:36,-16.92,35.26,67.76,50,0,4.16
494,eisenerz,AT,2017-08-23 03:50:00,47.53,14.88,46.4,93,0,1.12
495,scarborough,GB,2017-08-23 03:50:00,54.28,-0.4,60.8,100,56,4.7
496,biabou,VC,2017-08-23 04:00:00,13.2,-61.13,78.8,94,20,5.61
497,dubai,AE,2017-08-23 04:00:00,25.26,55.3,93.2,52,0,9.17
498,gunjur,GM,2017-08-23 04:00:00,13.2,-16.73,71.6,94,75,6.93
499,sveti nikole,MK,2017-08-23 04:00:00,41.87,21.95,48.2,81,0,2.24
